Glenolden[76],Glenolden,Wilmington/Newark Line,N/A,2,Glenolden
Glenside[77],Glenside,"Lansdale/Doylestown Line
Warminster Line",N/A,3,Glenside
Gravers[78],Gravers,Chestnut Hill East Line,N/A,2,Philadelphia (Chestnut Hill)
Gwynedd Valley[79],Gwynedd Valley,Lansdale/Doylestown Line,N/A,3,Gwynedd Valley
Hatboro[80],Hatboro,Warminster Line,N/A,3,Hatboro
Haverford[81],Haverford,Paoli/Thorndale Line,N/A,2,Haverford
Highland[82],Highland,Chestnut Hill West Line,N/A,2,Philadelphia (Chestnut Hill)
Highland Avenue[83],Highland Avenue,Wilmington/Newark Line,N/A,3,Chester
Holmesburg Junction[84],Holmesburg Junction,Trenton Line,N/A,4,Philadelphia (Holmesburg)
Ivy Ridge[85],Ivy Ridge,Manayunk/Norristown Line,N/A,4,Philadelphia (Roxborough)
Jefferson Station[86],Jefferson Station,"Airport Line
Chestnut Hill East Line
Chestnut Hill West Line
Fox Chase Line
Lansdale/Doylestown Line
Manayunk/Norristown Line
Media/Elwyn Line
Paoli/Thorndale Line
Trenton Line
Warminster Line
West Trenton Line
Wilmington/Newark Line","Broad Street Line (Ridge Spur)
Market–Frankford Line
Port Authority Transit Corporation:
PATCO Speedline",CCP,Philadelphia (Market East)
Jenkintown–Wyncote[87],Jenkintown–Wyncote,"Lansdale/Doylestown Line
Warminster Line
West Trenton Line",N/A,3,Jenkintown
Langhorne[88],Langhorne,West Trenton Line,N/A,4,Langhorne Manor
Lansdale[89],Lansdale,Lansdale/Doylestown Line,N/A,4,Lansdale
Lansdowne[90],Lansdowne,Media/Elwyn Line,N/A,2,Lansdowne
Lawndale[91],Lawndale,Fox Chase Line,N/A,2,Philadelphia (Lawndale)
Levittown[92],Levittown,Trenton Line,N/A,4,Tullytown
Link Belt[93],Link Belt,Lansdale/Doylestown Line,N/A,4,Chalfont
"Main Street, Norristown[94]","Main Street, Norristown",Manayunk/Norristown Line,N/A,3,Norristown
Malvern[95],Malvern,Paoli/Thorndale Line,N/A,4,Malvern
Manayunk[96],Manayunk,Manayunk/Norristown Line,N/A,2,Philadelphia (Manayunk)
Marcus Hook[97],Marcus Hook,Wilmington/Newark Line,N/A,3,Marcus Hook
Meadowbrook[98],Meadowbrook,West Trenton Line,N/A,3,Meadowbrook
Media[99],Media,Media/Elwyn Line,Route 101,3,Upper Providence Twp.[68]
Melrose Park[100],Melrose Park,"Lansdale/Doylestown Line [c]
Warminster Line
West Trenton Line",N/A,2,Melrose Park
Merion[101],Merion,Paoli/Thorndale Line,N/A,2,Merion
Miquon[102],Miquon,Manayunk/Norristown Line,N/A,3,Miquon
Morton[103],Morton,Media/Elwyn Line,N/A,2,Morton
Mount Airy[104],Mount Airy,Chestnut Hill East Line,N/A,2,Philadelphia (East Mount Airy)
Moylan – Rose Valley[105],Moylan – Rose Valley,Media/Elwyn Line,N/A,2,Moylan
Narberth[106],Narberth,Paoli/Thorndale Line,N/A,2,Narberth
Neshaminy Falls[107],Neshaminy Falls,West Trenton Line,N/A,3,Feasterville-Trevose
New Britain[108],New Britain,Lansdale/Doylestown Line,N/A,2,New Britain
Newark[109],Newark,Wilmington/Newark Line,"Amtrak:
Northeast Corridor",4,"Newark, Delaware"
Noble[110],Noble,West Trenton Line,N/A,2,Noble
Norristown Transportation Center[111],Norristown Transportation Center,Manayunk/Norristown Line,Norristown High Speed Line,3,Norristown
North Broad[112],North Broad,"Lansdale/Doylestown Line
Manayunk/Norristown Line",Broad Street Line,1,Philadelphia (Glenwood)
North Hills[113],North Hills,Lansdale/Doylestown Line,N/A,3,North Hills
North Philadelphia[114][115],North Philadelphia[114],"Chestnut Hill West Line
Trenton Line","Broad Street Line
Amtrak:
Northeast Corridor",1,Philadelphia (Glenwood)
North Wales[116],North Wales,Lansdale/Doylestown Line,N/A,4,North Wales
Norwood[117],Norwood,Wilmington/Newark Line,N/A,2,Norwood
Olney[118],Olney,Fox Chase Line,N/A,1,Philadelphia (Olney)
Oreland[119],Oreland,Lansdale/Doylestown Line,N/A,3,Oreland
Overbrook[120],Overbrook,Paoli/Thorndale Line,N/A,2,Philadelphia (Overbrook)
Paoli[121],Paoli,Paoli/Thorndale Line,"Amtrak:
Keystone Corridor",4,Paoli
